x,y
6.983,-7.159
6.991,-7.151
6.999,-7.143
7.007,-7.135
7.015,-7.127
7.023,-7.119
7.031,-7.111
7.039,-7.103
7.048,-7.095
7.056,-7.087
7.064,-7.079
7.072,-7.071
7.08,-7.063
7.088,-7.055
7.096,-7.047
7.103,-7.039
7.111,-7.031
7.119,-7.023
7.127,-7.015
7.135,-7.007
7.143,-6.999
7.151,-6.991
7.159,-6.983
7.166,-6.975
7.174,-6.967
7.182,-6.959
7.19,-6.951
7.197,-6.943
7.205,-6.935
7.213,-6.927
7.22,-6.919
7.228,-6.911
7.236,-6.903
7.243,-6.895
7.251,-6.887
7.259,-6.879
7.266,-6.871
7.274,-6.863
7.281,-6.855
7.289,-6.847
7.296,-6.839
7.304,-6.831
7.311,-6.823
7.319,-6.815
7.326,-6.807
7.334,-6.799
7.341,-6.791
7.348,-6.783
7.356,-6.775
7.363,-6.767
7.37,-6.759
7.378,-6.751
7.385,-6.743
7.392,-6.735
7.4,-6.727
7.407,-6.719
7.414,-6.711
7.421,-6.703
7.429,-6.695
7.436,-6.687
7.443,-6.679
7.45,-6.671
7.457,-6.663
7.464,-6.655
7.472,-6.647
7.479,-6.639
7.486,-6.631
7.493,-6.623
7.5,-6.615
7.507,-6.607
7.514,-6.599
7.521,-6.591
7.528,-6.583
7.535,-6.575
7.542,-6.567
7.549,-6.559
7.556,-6.551
7.563,-6.543
7.57,-6.535
7.577,-6.527
7.584,-6.519
7.59,-6.511
7.597,-6.503
7.604,-6.495
7.611,-6.487
7.618,-6.479
7.625,-6.471
7.631,-6.463
7.638,-6.455
7.645,-6.447
7.652,-6.439
7.658,-6.431
7.665,-6.423
7.672,-6.415
7.678,-6.407
7.685,-6.399
7.692,-6.391
7.698,-6.383
7.705,-6.375
7.712,-6.367
7.718,-6.359
7.725,-6.351
7.731,-6.343
7.738,-6.335
7.744,-6.327
7.751,-6.319
7.758,-6.311
7.764,-6.303
7.771,-6.295
7.777,-6.287
7.783,-6.279
7.79,-6.271
7.796,-6.263
7.803,-6.255
7.809,-6.247
7.816,-6.239
7.822,-6.231
7.828,-6.223
7.835,-6.215
7.841,-6.207
7.847,-6.199
7.854,-6.191
7.86,-6.183
7.866,-6.175
7.872,-6.167
7.879,-6.159
7.885,-6.151
7.891,-6.143
7.897,-6.135
7.904,-6.127
7.91,-6.119
7.916,-6.111
7.922,-6.103
7.928,-6.095
7.935,-6.087
7.941,-6.079
7.947,-6.071
7.953,-6.063
7.959,-6.055
