x,y
3.7911,-29.7595
3.7974,-29.7587
3.8037,-29.7579
3.8099,-29.7571
3.8161,-29.7563
3.8224,-29.7555
3.8286,-29.7547
3.8348,-29.7539
3.841,-29.7531
3.8472,-29.7523
3.8534,-29.7515
3.8596,-29.7507
3.8665,-29.7498
3.8726,-29.749
3.8788,-29.7482
3.8849,-29.7474
3.891,-29.7466
3.8971,-29.7458
3.9033,-29.745
3.9093,-29.7442
3.9154,-29.7434
3.9215,-29.7426
3.9276,-29.7418
3.9336,-29.741
3.9397,-29.7402
3.9457,-29.7394
3.9517,-29.7386
3.9577,-29.7378
3.9637,-29.737
3.9705,-29.7361
3.9765,-29.7353
3.9832,-29.7344
3.9892,-29.7336
3.9951,-29.7328
4.0011,-29.732
4.007,-29.7312
4.0129,-29.7304
4.0189,-29.7296
4.0248,-29.7288
4.0307,-29.728
4.0366,-29.7272
4.0425,-29.7264
4.0483,-29.7256
4.0542,-29.7248
4.0608,-29.7239
4.0667,-29.7231
4.0732,-29.7222
4.0791,-29.7214
4.0849,-29.7206
4.0907,-29.7198
4.0965,-29.719
4.1023,-29.7182
4.1081,-29.7174
4.1139,-29.7166
4.1197,-29.7158
4.1254,-29.715
4.1312,-29.7142
4.1369,-29.7134
4.1427,-29.7126
4.1491,-29.7117
4.1549,-29.7109
4.1613,-29.71
4.167,-29.7092
4.1727,-29.7084
4.1784,-29.7076
4.1841,-29.7068
4.1897,-29.706
4.1954,-29.7052
4.2011,-29.7044
4.2067,-29.7036
4.2124,-29.7028
4.218,-29.702
4.2236,-29.7012
4.2293,-29.7004
4.2356,-29.6995
4.2412,-29.6987
4.2475,-29.6978
4.2531,-29.697
4.2587,-29.6962
4.2642,-29.6954
4.2698,-29.6946
4.2754,-29.6938
4.2809,-29.693
4.2865,-29.6922
4.292,-29.6914
4.2975,-29.6906
4.303,-29.6898
4.3086,-29.689
4.3141,-29.6882
4.3203,-29.6873
4.3258,-29.6865
4.3312,-29.6857
4.3367,-29.6849
4.3422,-29.6841
4.3477,-29.6833
4.3531,-29.6825
4.3586,-29.6817
4.364,-29.6809
4.3695,-29.6801
4.3749,-29.6793
4.3803,-29.6785
4.3857,-29.6777
4.3911,-29.6769
4.3965,-29.6761
4.4019,-29.6753
4.4073,-29.6745
4.4134,-29.6736
4.4188,-29.6728
4.4248,-29.6719
4.4302,-29.6711
4.4355,-29.6703
4.4409,-29.6695
4.4462,-29.6687
4.4515,-29.6679
4.4569,-29.6671
4.4622,-29.6663
4.4675,-29.6655
4.4728,-29.6647
4.4781,-29.6639
4.4834,-29.6631
4.4887,-29.6623
4.4946,-29.6614
4.4999,-29.6606
4.5058,-29.6597
4.5111,-29.6589
4.5164,-29.6581
4.5216,-29.6573
4.5269,-29.6565
4.5321,-29.6557
4.5373,-29.6549
4.5426,-29.6541
4.5478,-29.6533
