x,y
3.5512,-24.7465
3.5568,-24.7457
3.563,-24.7448
3.5686,-24.744
3.5748,-24.7431
3.581,-24.7422
3.5866,-24.7414
3.5928,-24.7405
3.5983,-24.7397
3.6045,-24.7388
3.6099,-24.738
3.6161,-24.7371
3.6216,-24.7363
3.6277,-24.7354
3.6339,-24.7345
3.6393,-24.7337
3.6454,-24.7328
3.6508,-24.732
3.6569,-24.7311
3.6623,-24.7303
3.6684,-24.7294
3.6745,-24.7285
3.6798,-24.7277
3.6859,-24.7268
3.6912,-24.726
3.6973,-24.7251
3.7026,-24.7243
3.7086,-24.7234
3.7139,-24.7226
3.7199,-24.7217
3.7259,-24.7208
3.7312,-24.72
3.7372,-24.7191
3.7425,-24.7183
3.7484,-24.7174
3.7537,-24.7166
3.7596,-24.7157
3.7655,-24.7148
3.7708,-24.714
3.7766,-24.7131
3.7819,-24.7123
3.7878,-24.7114
3.793,-24.7106
3.7988,-24.7097
3.804,-24.7089
3.8099,-24.708
3.8157,-24.7071
3.8209,-24.7063
3.8267,-24.7054
3.8319,-24.7046
3.8377,-24.7037
3.8428,-24.7029
3.8486,-24.702
3.8537,-24.7012
3.8595,-24.7003
3.8652,-24.6994
3.8703,-24.6986
3.8761,-24.6977
3.8812,-24.6969
3.8869,-24.696
3.892,-24.6952
3.8977,-24.6943
3.9034,-24.6934
3.9084,-24.6926
3.9141,-24.6917
3.9192,-24.6909
3.9248,-24.69
3.9299,-24.6892
3.9355,-24.6883
3.9405,-24.6875
3.9462,-24.6866
3.9518,-24.6857
3.9568,-24.6849
3.9624,-24.684
3.9674,-24.6832
3.973,-24.6823
3.9779,-24.6815
3.9835,-24.6806
3.9891,-24.6797
3.994,-24.6789
3.9996,-24.678
4.0045,-24.6772
4.0101,-24.6763
4.015,-24.6755
4.0205,-24.6746
4.0254,-24.6738
4.0309,-24.6729
4.0364,-24.672
4.0413,-24.6712
4.0468,-24.6703
4.0517,-24.6695
4.0572,-24.6686
4.062,-24.6678
4.0675,-24.6669
4.0729,-24.666
4.0778,-24.6652
4.0832,-24.6643
4.0881,-24.6635
4.0935,-24.6626
4.0983,-24.6618
4.1037,-24.6609
4.1085,-24.6601
4.1139,-24.6592
4.1193,-24.6583
4.1241,-24.6575
4.1295,-24.6566
4.1342,-24.6558
4.1396,-24.6549
4.1444,-24.6541
4.1497,-24.6532
4.1551,-24.6523
4.1598,-24.6515
4.1651,-24.6506
4.1699,-24.6498
4.1752,-24.6489
4.1799,-24.6481
4.1852,-24.6472
4.1899,-24.6464
4.1952,-24.6455
4.2005,-24.6446
4.2052,-24.6438
4.2105,-24.6429
4.2151,-24.6421
4.2204,-24.6412
4.2251,-24.6404
4.2303,-24.6395
4.235,-24.6387
4.2402,-24.6378
4.2454,-24.6369
4.2501,-24.6361
4.2553,-24.6352
4.2599,-24.6344
4.2651,-24.6335
4.2697,-24.6327
4.2749,-24.6318
4.2801,-24.6309
4.2847,-24.6301
4.2899,-24.6292
4.2945,-24.6284
4.2996,-24.6275
4.3042,-24.6267
4.3093,-24.6258
4.3139,-24.625
4.319,-24.6241
4.3242,-24.6232
4.3287,-24.6224
4.3338,-24.6215
4.3384,-24.6207
4.3435,-24.6198
4.348,-24.619
4.3531,-24.6181
4.3582,-24.6172
4.3627,-24.6164
4.3678,-24.6155
4.3723,-24.6147
4.3774,-24.6138
4.3819,-24.613
4.3869,-24.6121
4.3914,-24.6113
4.3964,-24.6104
4.4015,-24.6095
4.4059,-24.6087
4.411,-24.6078
4.4154,-24.607
4.4204,-24.6061
4.4249,-24.6053
4.4299,-24.6044
4.4349,-24.6035
4.4393,-24.6027
4.4443,-24.6018
4.4487,-24.601
4.4537,-24.6001
4.4581,-24.5993
4.4631,-24.5984
4.4675,-24.5976
4.4724,-24.5967
4.4774,-24.5958
4.4818,-24.595
4.4867,-24.5941
4.4911,-24.5933
4.496,-24.5924
4.5004,-24.5916
4.5053,-24.5907
4.5102,-24.5898
4.5146,-24.589
4.5195,-24.5881
4.5238,-24.5873
4.5287,-24.5864
4.5331,-24.5856
4.5379,-24.5847
4.5423,-24.5839
4.5471,-24.583
4.552,-24.5821
4.5563,-24.5813
4.5612,-24.5804
4.5655,-24.5796
4.5703,-24.5787
4.5746,-24.5779
4.5795,-24.577
4.5838,-24.5762
